Name, Season +/-, Points, URL
Liam Smith, +120, 2450, liam_smith.html
Arthur Pendragon, +50, 2310, arthur_pendragon.html
Nilesh Parmar, +200, 2500, nilesh_parmar.html
Sarah Connor, -15, 2285, sarah_connor.html
Leonidas King, +85, 2150, leonidas_king.html
David Miller, +10, 2100, david_miller.html
Grace Hopper, -40, 1950, grace_hopper.html
Bruce Wayne, +200, 1890, bruce_wayne.html
James Bond, -5, 1845, james_bond.html
Dr Jeanette Chin, +400, 5000, jeanette_chin.html
Alan Turing, +30, 1780, alan_turing.html
Ada Lovelace, +15, 1750, ada_lovelace.html
Tony Stark, -60, 1620, tony_stark.html
Clark Kent, +110, 1580, clark_kent.html
Barry Allen, +45, 1500, barry_allen.html
Luke Skywalker, -20, 1450, luke_skywalker.html
Leia Organa, +75, 1400, leia_organa.html
John Doe, 0, 1300, john_doe.html
Jane Smith, +25, 1250, jane_smith.html
Peter Parker, +90, 1180, peter_parker.html
Diana Prince, -35, 1100, diana_prince.html
Oliver Queen, +5, 1050, oliver_queen.html
