Opponent,Versus,Date,Result,+/-,Points
John Doe, Wensum A, 15/09/25, 3-1, +15, 4815
Jane Smith, Taverham C, 29/09/25, 3-0, +20, 4835
Peter Parker, Gothic B, 05/10/25, 2-3, -10, 4825
Bruce Banner, Foxwood A, 19/10/25, 3-1, +25, 4850
Natasha Romanoff, NCC C, 02/11/25, 3-2, +10, 4860
Steve Rogers, Hethersett B, 16/11/25, 1-3, -15, 4845
Diana Prince, Cringleford B, 30/11/25, 0-3, -20, 4825
Barry Allen, Wymondham A, 07/12/25, 3-0, +30, 4855
Hal Jordan, Sprowston B, 14/12/25, 3-1, +15, 4870
Arthur Curry, Taverham B, 10/01/26, 3-0, +20, 4890
Victor Stone, Gothic A, 24/01/26, 3-1, +25, 4915
Wanda Maximoff, NCC B, 07/02/26, 2-3, -10, 4905
Vision, Dereham A, 14/02/26, 3-2, +15, 4920
Sam Wilson, Wensum B, 28/02/26, 3-0, +35, 4955
Bucky Barnes, Returners A, 10/03/26, 1-3, -25, 4930
Scott Lang, Cringleford A, 24/03/26, 3-1, +20, 4950
Hope Pym, Hethersett A, 07/04/26, 3-2, +15, 4965
Stephen Strange, Sprowston A, 21/04/26, 3-0, +25, 4990
Carol Danvers, Foxwood B, 05/05/26, 1-3, -15, 4975
Nick Fury, NCC A, 19/05/26, 3-1, +25, 5000
