Opponent,Versus,Date,Result,+/-,Points
Arthur Pendragon, Taverham A, 10/01/26, 3-1, +20, 2380
Leonidas King, Gothic A, 24/01/26, 3-2, +15, 2395
David Miller, Cringleford Spinners, 07/02/26, 1-3, -25, 2370
Bruce Wayne, Thorpe A, 21/02/26, 3-0, +30, 2400
James Bond, Hethersett Hawks, 05/03/26, 2-3, -15, 2385
Clark Kent, Sprowston Smashers, 19/03/26, 3-1, +25, 2410
Tony Stark, Taverham B, 02/04/26, 3-0, +35, 2445
Barry Allen, Dereham Dynamos, 16/04/26, 3-2, +10, 2455
Alan Turing, NCC A, 01/05/26, 3-1, +20, 2475
Sarah Connor, NCC B, 15/05/26, 3-0, +25, 2500
